Food Name,Category,Calories,Carbs (g),Protein (g),Fat (g),Serving Size,Unit,Serving Weight (g),Calories per 100g,Carbs per 100g,Protein per 100g,Fat per 100g
Chicken breast,Protein Sources,198,0,37.2,4.3,1,breast,120,165,0,31,3.6
Salmon,Protein Sources,467.6,0,50.2,28,1,fillet,227,206,0,22.1,12.3
Tuna,Protein Sources,110.5,0,24.8,0.5,3,oz,85,130,0,29.2,0.6
Tofu,Protein Sources,75.5,1.1,9.1,4.8,0.2,block,91,83,1.2,10,5.3
Eggs,Protein Sources,71.5,0.4,6.3,4.8,1,large,50,143,0.8,12.6,9.6
Ground beef,Protein Sources,308.4,0,30.6,19.7,4,"oz, cooked",113.4,272,0,27,17.4
Pork chop,Protein Sources,328.1,0,40.2,17.4,1,chop without refuse,157,209,0,25.6,11.1
Turkey breast,Protein Sources,125,0,25.6,1.8,3,oz,85,147.1,0,30.1,2.1
Shrimp,Protein Sources,6,0.1,1.1,0.1,1,shrimp,5,120,2,22,2
Tilapia,Protein Sources,217.6,0,44.5,4.5,1,medium fillet (6 oz),170,128,0,26.2,2.6
Cottage cheese,Dairy,106.6,3.7,12.1,4.7,0.5,cup,108.8,98,3.4,11.1,4.3
Greek yogurt,Protein Sources,100.3,6.1,17.3,0.7,6,oz,170,59,3.6,10.2,0.4
Chickpeas,Legumes & Beans,269,45,14.5,4.2,1,cup,164,164,27.4,8.8,2.6
Lentils,Legumes & Beans,229.7,39.9,17.9,0.8,1,cup,198,116,20.2,9,0.4
Black beans,Legumes & Beans,227,40.8,15.2,0.9,1,cup,172,132,23.7,8.8,0.5
Rice,Carbohydrate Sources,205.4,44.5,4.2,0.4,1,cup,158,130,28.2,2.7,0.3
Quinoa,Carbohydrate Sources,111,19.7,4.1,1.8,0.5,cup,92.5,120,21.3,4.4,1.9
Potatoes,Carbohydrate Sources,160.9,36.6,4.3,0.2,1,potato medium,173,93,21.2,2.5,0.1
Sweet potatoes,Carbohydrate Sources,102.6,23.6,2.3,0.2,1,"medium (2"" dia, 5"" long, raw)",114,90,20.7,2,0.2
Whole wheat bread,Carbohydrate Sources,80.6,13.7,4,1.1,1,slice,32,251.9,42.8,12.5,3.4
Pasta,Carbohydrate Sources,195.9,38.3,7.2,1.1,1,cup spaghetti not packed,124,158,30.9,5.8,0.9
Corn,Carbohydrate Sources,98.9,21.6,3.5,1.6,1,ear medium,103,96,21,3.4,1.6
Bananas,Fruits,105,26.9,1.3,0.4,1,"medium (7"" to 7-7/8"" long)",118,89,22.8,1.1,0.3
Apples,Fruits,94.6,25.1,0.5,0.3,1,"medium (3"" dia)",182,52,13.8,0.3,0.2
Oranges,Fruits,68.6,17.6,1.3,0.2,1,"fruit (2-7/8"" dia)",140,49,12.6,0.9,0.1
Grapes,Fruits,33.8,8.9,0.3,0.1,10,grapes,49,69,18.2,0.6,0.2
Berries,Carbohydrate Sources,64.7,15.4,1.4,0.6,1,cup,141.8,45.6,10.9,1,0.4
Carrots,Carbohydrate Sources,16.1,3.8,0.3,0.1,1,carrot,46,35,8.3,0.7,0.2
Peas,Carbohydrate Sources,134.4,25,8.6,0.3,1,cup,160,84,15.6,5.4,0.2
Avocado,Healthy Fats,321.6,17.1,4,29.5,1,"avocado, NS as to Florida or California",201,160,8.5,2,14.7
Olive oil,Healthy Fats,119.3,0,0,13.5,1,tablespoon,13.5,883.7,0,0,100
Almonds,Healthy Fats,7.7,0.3,0.3,0.7,1,almond,1.3,592.3,23.1,23.1,53.8
Peanut butter,Healthy Fats,188.2,7.7,7,15.8,2,tbsp,32,588.1,24.1,21.9,49.4
Cashews,Healthy Fats,9,0.5,0.2,0.7,1,cashew,1.6,562.5,31.2,12.5,43.7
